Organization,About,Location,Employees,Funding,Ownership,Website,Rank,Industries,Headquarters Regions,Founded Date,Founders,Operating Status,Also Known As,Legal name,Last Funding Type,Company Type ,Contact Email,Phone Number
Honeypot Software,Honeypot is a cutting-edge marketing technology company.,"San Francisco, California, United States",01-Oct,Series A,Private,honeypotsoftware.com,4487,"Marketing Automation, SaaS, Software","San Francisco Bay Area, West Coast, Western US","Jan 2, 2023",Dawn Senegiste,Active,Honeypot,Honeypot LLC,Series A,For Profit,dawn@honeypotsoftware.com,No
Gloc.al,Gloc.al SEO generate leads as B2B SaaS Glocal Multilingual-SEO-As-A-Service AI backed at 88 lang. serverless tech network in 100 countries,"Dubai, Dubai, United Arab Emirates",01-Oct,Grant,Private,gloc.al,"10,369","B2B,E-Commerce,Lead Generation, Marketing Automation,SaaS,SEO,Software",Gulf Cooperation Council (GCC),"Sep 10, 2022","Aleksei Dolgikh,Olga Nayda",Active,"Gloc.al,Glocal SEO,MyGlocal FZ-LLC",MyGlocal FZ-LLC,Grant,For Profit,sales@gloc.al,6503004921
Aikido Security,Simplifying software security for developers,"Ghent, Oost-Vlaanderen, Belgium",01-Oct,Pre Seed,Private,aikido.dev,"12,325","Cloud Security,Cyber Security, SaaS,Software",European Union (EU),"Oct 26, 2022","Amber Rucker,Felix Garriau,Roeland Delrue,Willem Delbare",Active,No,Aikido Security bv,Pre-Seed,For Profit,hello@aikido.dev,6503004921
not8,not8 is a B2B startup that aims to standardise the product development review process.,"Amsterdam, Noord-Holland, The Netherlands",01-Oct,Pre-Seed,Private,www.not8.co/,13862,"B2B, Information Services, Product Management, SaaS",European Union (EU),"Sep 21, 2022","Vladislav Dekhanov, Yaroslav Medvedev",Active,No,not8 B.V.,No,For Profit,yaro@not8.co,No
Getplace.io,B2B Saas; Getplace.io s a service that helps offline businesses to find the best locations for their new store.,"Amsterdam, Noord-Holland, The Netherlands",01-Oct,Pre-Seed,Private,Getplace.io,"14,271","B2B,Information Technology,Rental Property,Restaurants,Retail, SaaS, Software",European Union (EU),"Jan 19, 2023","Denis Chernobaev,Sergey Scherbak",Active,No,Getplace B.V.,Pre-Seed,For Profit,Denis@getplace.io,No
Certificatum,"Blockchain, Cyber Security, SaaS","Ankara, Ankara, Turkey",1,Pre-Seed,Private,certificatum.org,"23,218","Blockchain,Cyber Security,SaaS","Ankara, Ankara, Turkey","Jan 20, 2023",Alper Kursat Unver,Active,No,Certificatum Cyber Security Technologies Inc.,Pre-Seed,For Profit,contact@certificatum.org,9.03122E+11
Reclimate,Reclimate empowers renewable and EV infrastructure projects by streamlining access to the carbon markets and providing enabling technologies,"Singapore, Central Region, Singapore",01-Oct,Pre-Seed,Private,www.reclimate.earth/,"25,660","Clean Energy,CleanTech, Renewable Energy, SaaS, Software, Sustainability","Reclimate is located in Singapore, Central Region, Singapore.","Dec 8, 2022",Giorgino Naval,Active,No,RECLIMATE PTE LTD,Pre-Seed,For Profit,hello@reclimate.earth,6582637658
Ourspace,Ourspace is the collaborative team design software that equips leaders to make smarter org design decisions.,"Barcelona, Catalonia, Spain",01-Oct,Pre-Seed,Private,www.our.space/,29852,Collaboration Data Visualization Productivity Tools SaaS Software,European Union (EU),May-22,"Mark Allen, Megan Murphy, Stephanie Bowker",Active,No,"Ourspace Software, Inc",No,For Profit,hello@our.space,No
Rhevolut,Financials People Signals & News Similar Companies About Saas,"São Paulo, Sao Paulo, Brazil",01-Oct,Pre-Seed,Private,www.rhevolut.com,"32,528",Human Resources SaaS,Latin America,"Dec 1, 2022","Eughenio Constantino, Fabio Luis Glinski Ivatiuk, Gabriela Sznifer",Active,No,EFG18 Tech LTDA,No,For Profit,contato@rhevolut.com,No
Swapt,Swapt is a SaaS marketing automation platform for offline data acquisition.,"Boston, Massachusetts, United States",01-Oct,Pre-Seed,Private,swaptqr.com,"35,454","Marketing Automation, QR Codes, SaaS, Software","Greater Boston Area, East Coast, New England","Apr 29, 2022","Andrew Smith, Trevor Brown",Active,Swapt QR,"Swapt, Inc.",Pre-Seed,For Profit,info@swaptqr.com,No
HI Design Academy,The place where innovation is being created,"Gaza, Gaza, Palestinian Territory",01-Oct,Angel,Private,Hida.app,"38,190","Digital Marketing,Information Technology,Product Design,Product Management,Product Research,Professional Services,SaaS,Software,UX Design",No,"Nov 30, 2022",Hazem K H Madi,Active,HIDA,HI Design Academy,,For Profit,hazem@hida.app,9.72568E+11
Beagle Innovations,AI driven SaaS platform for enterprise infrastructure inspections.,"Princeton, New Jersey, United States",01-Oct,Seed,Private,www.beaglelabs.ai,"44,954","Artificial Intelligence,Property Management,SaaS","East Coast, Northeastern US","May 19, 2022","Dwight Neptune,Josie Madingo,Keelan Gayle,Luis Guzman",Active,Beagle,Beagle Innovations Inc.,Seed,For Profit,info@beaglelabs.ai,No
Pump,"Instantly save up ~50% on AWS, San Francisco, California, United States, 1-10, Pre-Seed, Private, www.pump.co/, 43,362","San Francisco, California, United States",01-Oct,Seed,Private,www.pump.co/,"43,362","B2B, Developer Tools, SaaS","San Francisco Bay Area, West Coast, Western US",Jun-22,No,Active,No,No,Pre-Seed,For Profit,hi@pump.co,6504680297
Housing Cloud,Housing Cloud is a next-gen Student Housing SaaS that helps schools attract more students to live on-campus while simplifying operations,"New York, New York, United States",01-Oct,Pre-Seed,Private,www.housing.cloud,"47,198","EdTech, SaaS, Software","Greater New York Area, East Coast, Northeastern US","Jun 1, 2022",Geoff Bartakovics,Active,No,"Student Res Life, Inc.",Pre-Seed,For Profit,info@housing.cloud,No
Worklair,The powerhouse management platform to run your business,"Sydney, New South Wales, Australia",01-Oct,Pre-Seed,Private,worklair.io,54858,"Apps,Collaboration,Messaging,Productivity Tools, Project Management,SaaS,Software,Task Management","Asia-Pacific (APAC), Australasia","Aug 11, 2022",Volodymyr Katanskyi,Active,No,Synchronos PTY LTD,No,For Profit,info@worklair.io,412-428-803
Boundless,Streamlining business funding applications,"Toronto, Ontario, Canada",01-Oct,Pre-Seed,Private,www.getboundless.io/,"54,706","Financial Services,SaaS",Great Lakes,"Nov 5, 2022",No,Active,No,Boundless Financial,No,For Profit,info@getboundless.io,No
Opus Talent Analytics,"Opus Analytics is an AI based data analytics software for Enterprise Businesses and Governments to help them make more informed decisions.Wilmington, Delaware, United States","Wilmington, Delaware, United States",01-Oct,Pre-Seed,Private,www.opusanalytics.ai/,"56,794","Analytics,Big Data,SaaS,Software","Greater Philadelphia Area, East Coast, Southern US","Mar 27, 2022","Basil Fateen,Sherif Amer, Somaya El Sherbini",Active,No,Opus Talent Analytics Inc.,Pre-Seed,For Profit,Somaya@opusanalytics.ai,2.01279E+11
Keyspace Studio INC.,A no-code Web3 SaaS Solution for Enterprises,"Atlanta, Georgia, United States",01-Oct,Seed,Private,www.keyspace.studio/,"58,218","Internet,SaaS,Software","Greater Atlanta Area,East Coast,Southern US",May-22,No,Active,No,No,No,For Profit,info@keyspace.studio,678.517.9652
